*rse  [safe: not_safe=0.317, safe=0.683]
boob  [safe: not_safe=0.014, safe=0.986]
boobe  [safe: not_safe=0.393, safe=0.607]
boobie  [safe: not_safe=0.086, safe=0.914]
boobs  [safe: not_safe=0.024, safe=0.976]
bookie  [safe: not_safe=0.004, safe=0.996]
boong  [safe: not_safe=0.092, safe=0.908]
boonga  [safe: not_safe=0.133, safe=0.867]
boongas  [safe: not_safe=0.238, safe=0.762]
boongs  [safe: not_safe=0.024, safe=0.976]
boonie  [safe: not_safe=0.375, safe=0.625]
boonies  [safe: not_safe=0.477, safe=0.523]
booobs  [safe: not_safe=0.012, safe=0.988]
boooobs  [safe: not_safe=0.019, safe=0.981]
booooobs  [safe: not_safe=0.012, safe=0.988]
booooooobs  [safe: not_safe=0.011, safe=0.989]
bootee  [safe: not_safe=0.462, safe=0.538]
bootlip  [safe: not_safe=0.014, safe=0.986]
bootlips  [safe: not_safe=0.029, safe=0.971]
booty  [safe: not_safe=0.076, safe=0.924]
boozer  [safe: not_safe=0.046, safe=0.954]
boozy  [safe: not_safe=0.062, safe=0.938]
bordel  [safe: not_safe=0.200, safe=0.800]
bordello  [safe: not_safe=0.782, safe=0.218]
bosch  [safe: not_safe=0.570, safe=0.430]
bosche  [safe: not_safe=0.721, safe=0.279]
bosches  [not safe: not_safe=0.945, safe=0.055]
boschs  [safe: not_safe=0.531, safe=0.469]
bosomy  [safe: not_safe=0.534, safe=0.466]
bosta  [safe: not_safe=0.745, safe=0.255]
bostão  [safe: not_safe=0.042, safe=0.958]
botergeil  [safe: not_safe=0.034, safe=0.966]
bountybar  [safe: not_safe=0.564, safe=0.436]
bourré  [not safe: not_safe=0.930, safe=0.070]
bourrée  [not safe: not_safe=0.958, safe=0.042]
brackmard  [not safe: not_safe=0.964, safe=0.036]
branlage  [safe: not_safe=0.012, safe=0.988]
branler  [not safe: not_safe=0.986, safe=0.014]
branlette  [safe: not_safe=0.035, safe=0.965]
branleur  [safe: not_safe=0.022, safe=0.978]
branleuse  [safe: not_safe=0.017, safe=0.983]
bratze  [safe: not_safe=0.752, safe=0.248]
breasticles  [safe: not_safe=0.498, safe=0.502]
breastjob  [safe: not_safe=0.067, safe=0.933]
breastlover  [safe: not_safe=0.081, safe=0.919]
breastman  [safe: not_safe=0.312, safe=0.688]
breasts  [not safe: not_safe=0.996, safe=0.004]
brinca  [safe: not_safe=0.120, safe=0.880]
broekhoesten  [safe: not_safe=0.034, safe=0.966]
brotherfucker  [safe: not_safe=0.021, safe=0.979]
brugpieper  [safe: not_safe=0.059, safe=0.941]
brutta  [not safe: not_safe=0.873, safe=0.127]
bstrd  [safe: not_safe=0.233, safe=0.767]
btch  [safe: not_safe=0.034, safe=0.966]
bucaiolo  [safe: not_safe=0.081, safe=0.919]
buceta  [safe: not_safe=0.371, safe=0.629]
buddhahead  [safe: not_safe=0.058, safe=0.942]
buddhaheads  [safe: not_safe=0.018, safe=0.982]
budiùlo  [safe: not_safe=0.202, safe=0.798]
buffelen  [not safe: not_safe=0.991, safe=0.009]
buffies  [not safe: not_safe=0.981, safe=0.019]
bugger  [not safe: not_safe=0.939, safe=0.061]
bugger off  [not safe: not_safe=0.995, safe=0.005]
buggered  [not safe: not_safe=0.997, safe=0.003]
buggery  [not safe: not_safe=0.982, safe=0.018]
bugren  [not safe: not_safe=0.995, safe=0.005]
bugri  [not safe: not_safe=0.990, safe=0.010]
bugru  [not safe: not_safe=0.985, safe=0.015]
bukake  [not safe: not_safe=0.984, safe=0.016]
bukkake  [safe: not_safe=0.425, safe=0.575]
buksza  [safe: not_safe=0.727, safe=0.273]
bukszák  [not safe: not_safe=0.814, safe=0.186]
bukszákat  [safe: not_safe=0.566, safe=0.434]
bukszát  [safe: not_safe=0.789, safe=0.211]
bull shit  [not safe: not_safe=0.997, safe=0.003]
bullcrap  [safe: not_safe=0.514, safe=0.486]
bulldike  [not safe: not_safe=0.986, safe=0.014]
bulldyke  [not safe: not_safe=0.978, safe=0.022]
bullshi  [not safe: not_safe=0.995, safe=0.005]
bullshit  [not safe: not_safe=0.995, safe=0.005]
bullshite  [not safe: not_safe=0.995, safe=0.005]
bullshits  [not safe: not_safe=0.994, safe=0.006]
bullshitted  [not safe: not_safe=0.996, safe=0.004]
bullturds  [not safe: not_safe=0.988, safe=0.012]
bum  [not safe: not_safe=0.883, safe=0.117]
bum-bandits  [not safe: not_safe=0.951, safe=0.049]
bum-driller  [safe: not_safe=0.286, safe=0.714]
bumblefuck  [not safe: not_safe=0.993, safe=0.007]
bumbum  [not safe: not_safe=0.926, safe=0.074]
bumfuck  [not safe: not_safe=0.965, safe=0.035]
bumhole  [safe: not_safe=0.636, safe=0.364]
bumsen  [not safe: not_safe=0.962, safe=0.038]
bung  [safe: not_safe=0.744, safe=0.256]
bung hole  [not safe: not_safe=0.948, safe=0.052]
bunga  [safe: not_safe=0.111, safe=0.889]
bungas  [safe: not_safe=0.057, safe=0.943]
bunghole  [safe: not_safe=0.016, safe=0.984]
burat  [not safe: not_safe=0.957, safe=0.043]
burdelmama  [not safe: not_safe=0.893, safe=0.107]
burrhead  [safe: not_safe=0.722, safe=0.278]
burrheads  [safe: not_safe=0.785, safe=0.215]
burro  [safe: not_safe=0.724, safe=0.276]
busone  [safe: not_safe=0.151, safe=0.849]
busty  [safe: not_safe=0.008, safe=0.992]
butchbabes  [not safe: not_safe=0.884, safe=0.116]
butchdike  [not safe: not_safe=0.987, safe=0.013]
butchdyke  [not safe: not_safe=0.980, safe=0.020]
butt  [not safe: not_safe=0.997, safe=0.003]
butt fuck  [not safe: not_safe=0.999, safe=0.001]
butt fucker  [not safe: not_safe=0.998, safe=0.002]
butt hole  [not safe: not_safe=0.987, safe=0.013]
butt pirate  [not safe: not_safe=0.997, safe=0.003]
butt-fucker  [not safe: not_safe=0.995, safe=0.005]
butt-fuckers  [not safe: not_safe=0.997, safe=0.003]
butt-fucking-bandit  [not safe: not_safe=0.997, safe=0.003]
butt-munchers  [not safe: not_safe=0.996, safe=0.004]
buttbang  [safe: not_safe=0.237, safe=0.763]
buttcheeks  [safe: not_safe=0.096, safe=0.904]
buttermilk  [safe: not_safe=0.564, safe=0.436]
buttface  [not safe: not_safe=0.995, safe=0.005]
buttfuck  [not safe: not_safe=0.984, safe=0.016]
buttfucka  [not safe: not_safe=0.938, safe=0.062]
buttfucker  [not safe: not_safe=0.925, safe=0.075]
buttfuckers  [not safe: not_safe=0.965, safe=0.035]
butthead  [safe: not_safe=0.031, safe=0.969]
butthole  [not safe: not_safe=0.941, safe=0.059]
butthole boy  [not safe: not_safe=0.998, safe=0.002]
buttlicker  [safe: not_safe=0.585, safe=0.415]
buttman  [safe: not_safe=0.009, safe=0.991]
buttmuch  [not safe: not_safe=0.959, safe=0.041]
buttmunch  [not safe: not_safe=0.994, safe=0.006]
buttmuncher  [not safe: not_safe=0.982, safe=0.018]
buttpirate  [safe: not_safe=0.768, safe=0.232]
buttplug  [not safe: not_safe=0.993, safe=0.007]
buttstain  [not safe: not_safe=0.918, safe=0.082]
buttwipe  [not safe: not_safe=0.990, safe=0.010]
buzna  [not safe: not_safe=0.974, safe=0.026]
bwc  [safe: not_safe=0.045, safe=0.955]
byatch  [safe: not_safe=0.041, safe=0.959]
bylsiä  [not safe: not_safe=0.974, safe=0.026]
bzitch  [not safe: not_safe=0.879, safe=0.121]
bâtard  [safe: not_safe=0.800, safe=0.200]
bï¼tch  [safe: not_safe=0.176, safe=0.824]
bøsserøv  [not safe: not_safe=0.916, safe=0.084]
búr  [safe: not_safe=0.739, safe=0.261]
búrok  [safe: not_safe=0.536, safe=0.464]
c*ck  [safe: not_safe=0.304, safe=0.696]
c*ckhead  [safe: not_safe=0.283, safe=0.717]
c*cks*cker  [safe: not_safe=0.757, safe=0.243]
c*cksucker  [safe: not_safe=0.315, safe=0.685]
c*m  [safe: not_safe=0.479, safe=0.521]
c*nt  [safe: not_safe=0.407, safe=0.593]
c*ntface  [safe: not_safe=0.497, safe=0.503]
c*nts  [not safe: not_safe=0.846, safe=0.154]
c*nty  [not safe: not_safe=0.939, safe=0.061]
c*um  [safe: not_safe=0.688, safe=0.312]
c00n  [safe: not_safe=0.103, safe=0.897]
c00nies  [safe: not_safe=0.543, safe=0.457]
c0ck  [safe: not_safe=0.133, safe=0.867]
c0ckhead  [safe: not_safe=0.434, safe=0.566]
c0cks  [safe: not_safe=0.076, safe=0.924]
c0cksuccer  [safe: not_safe=0.362, safe=0.638]
c0cksucked  [not safe: not_safe=0.996, safe=0.004]
c0cksucker  [not safe: not_safe=0.918, safe=0.082]
c0cksuckers  [safe: not_safe=0.804, safe=0.196]
c0x  [safe: not_safe=0.227, safe=0.773]
c0xux0r  [safe: not_safe=0.274, safe=0.726]
caaak  [safe: not_safe=0.210, safe=0.790]
cabrao  [safe: not_safe=0.007, safe=0.993]
cabron  [safe: not_safe=0.038, safe=0.962]
cabronazo  [safe: not_safe=0.227, safe=0.773]
cabrón  [safe: not_safe=0.107, safe=0.893]
cabrón de mierda  [safe: not_safe=0.029, safe=0.971]
caca  [safe: not_safe=0.116, safe=0.884]
cacca  [safe: not_safe=0.300, safe=0.700]
cacete  [safe: not_safe=0.067, safe=0.933]
caciocappella  [not safe: not_safe=0.884, safe=0.116]
cack  [safe: not_safe=0.009, safe=0.991]
cacker  [safe: not_safe=0.035, safe=0.965]
cadavere  [safe: not_safe=0.308, safe=0.692]
cagada  [safe: not_safe=0.518, safe=0.482]
cagado  [safe: not_safe=0.458, safe=0.542]
cagalhão  [safe: not_safe=0.469, safe=0.531]
cagar  [safe: not_safe=0.004, safe=0.996]
cagare  [safe: not_safe=0.007, safe=0.993]
cagata  [safe: not_safe=0.125, safe=0.875]
cagna  [safe: not_safe=0.295, safe=0.705]
cagone  [safe: not_safe=0.288, safe=0.712]
cagão  [safe: not_safe=0.282, safe=0.718]
cahone  [safe: not_safe=0.156, safe=0.844]
cajones  [safe: not_safe=0.026, safe=0.974]
cambada  [safe: not_safe=0.625, safe=0.375]
cameljockey  [safe: not_safe=0.191, safe=0.809]
camelo  [not safe: not_safe=0.920, safe=0.080]
cameltoe  [not safe: not_safe=0.996, safe=0.004]
camgirl  [safe: not_safe=0.707, safe=0.293]
camisinha  [safe: not_safe=0.008, safe=0.992]
camslut  [safe: not_safe=0.225, safe=0.775]
camwhore  [safe: not_safe=0.640, safe=0.360]
cara de pau  [not safe: not_safe=0.991, safe=0.009]
carajo  [safe: not_safe=0.417, safe=0.583]
caralho  [safe: not_safe=0.712, safe=0.288]
carpet muncher  [safe: not_safe=0.568, safe=0.432]
carpetmuncher  [safe: not_safe=0.700, safe=0.300]
carpetmunchers  [safe: not_safe=0.269, safe=0.731]
carpetmunching  [safe: not_safe=0.005, safe=0.995]
carruth  [safe: not_safe=0.025, safe=0.975]
casci  [safe: not_safe=0.764, safe=0.236]
cawk  [safe: not_safe=0.056, safe=0.944]
cawk muncher  [not safe: not_safe=0.812, safe=0.188]
cawkmuncher  [safe: not_safe=0.137, safe=0.863]
cawks  [safe: not_safe=0.059, safe=0.941]
cawksucker  [safe: not_safe=0.202, safe=0.798]
cazzata  [not safe: not_safe=0.870, safe=0.130]
cazzimma  [safe: not_safe=0.258, safe=0.742]
cazzo  [safe: not_safe=0.343, safe=0.657]
cazzone  [safe: not_safe=0.194, safe=0.806]
cck  [safe: not_safe=0.139, safe=0.861]
cerveja  [safe: not_safe=0.071, safe=0.929]
cervix  [safe: not_safe=0.698, safe=0.302]
cesso  [safe: not_safe=0.013, safe=0.987]
ch1nk  [safe: not_safe=0.183, safe=0.817]
chakke  [not safe: not_safe=0.915, safe=0.085]
chatte  [safe: not_safe=0.039, safe=0.961]
chav  [safe: not_safe=0.116, safe=0.884]
chcanky  [not safe: not_safe=0.935, safe=0.065]
checca  [safe: not_safe=0.090, safe=0.910]
cheesehead  [safe: not_safe=0.045, safe=0.955]
cheeseheads  [safe: not_safe=0.017, safe=0.983]
chernozhopyi  [safe: not_safe=0.110, safe=0.890]
cherrypopper  [safe: not_safe=0.135, safe=0.865]
chesticle  [not safe: not_safe=0.993, safe=0.007]
chesticles  [not safe: not_safe=0.951, safe=0.049]
chiappa  [not safe: not_safe=0.950, safe=0.050]
chiasse  [not safe: not_safe=0.970, safe=0.030]
chiavare  [safe: not_safe=0.085, safe=0.915]
chiavata  [safe: not_safe=0.625, safe=0.375]
chickslick  [safe: not_safe=0.328, safe=0.672]
chier  [safe: not_safe=0.285, safe=0.715]
chifrudo  [safe: not_safe=0.227, safe=0.773]
china-virus  [safe: not_safe=0.027, safe=0.973]
chinaal  [safe: not_safe=0.017, safe=0.983]
chinaman  [safe: not_safe=0.045, safe=0.955]
chinamen  [safe: not_safe=0.060, safe=0.940]
chinaswede  [not safe: not_safe=0.857, safe=0.143]
chinaswedes  [not safe: not_safe=0.847, safe=0.153]
chinavirus  [safe: not_safe=0.037, safe=0.963]
chinc  [safe: not_safe=0.150, safe=0.850]
chincs  [safe: not_safe=0.169, safe=0.831]
chinese-virus  [safe: not_safe=0.064, safe=0.936]
chinga  [safe: not_safe=0.043, safe=0.957]
chingada  [safe: not_safe=0.067, safe=0.933]
chingar  [safe: not_safe=0.344, safe=0.656]
chingchong  [safe: not_safe=0.142, safe=0.858]
chingchongs  [safe: not_safe=0.207, safe=0.793]
chink  [safe: not_safe=0.015, safe=0.985]
chinki  [safe: not_safe=0.200, safe=0.800]
chinks  [safe: not_safe=0.036, safe=0.964]
chinky  [safe: not_safe=0.051, safe=0.949]
chiottes  [safe: not_safe=0.706, safe=0.294]
choad  [safe: not_safe=0.018, safe=0.982]
choad nectar  [safe: not_safe=0.027, safe=0.973]
chocha  [safe: not_safe=0.033, safe=0.967]
chochota  [safe: not_safe=0.095, safe=0.905]
chod  [safe: not_safe=0.760, safe=0.240]
chode  [safe: not_safe=0.061, safe=0.939]
chodes  [safe: not_safe=0.061, safe=0.939]
chodu  [safe: not_safe=0.048, safe=0.952]
choke the chicken  [safe: not_safe=0.050, safe=0.950]
cholo  [safe: not_safe=0.034, safe=0.966]
chonkies  [not safe: not_safe=0.995, safe=0.005]
chonky  [safe: not_safe=0.205, safe=0.795]
chonkys  [safe: not_safe=0.794, safe=0.206]
chooche  [safe: not_safe=0.275, safe=0.725]
choochi  [safe: not_safe=0.087, safe=0.913]
choope  [safe: not_safe=0.430, safe=0.570]
choot  [safe: not_safe=0.559, safe=0.441]
chootia  [safe: not_safe=0.240, safe=0.760]
chootiya  [safe: not_safe=0.092, safe=0.908]
chraa  [not safe: not_safe=0.823, safe=0.177]
chucha  [safe: not_safe=0.094, safe=0.906]
chuche  [safe: not_safe=0.210, safe=0.790]
chuchi  [safe: not_safe=0.148, safe=0.852]
chudaap  [safe: not_safe=0.052, safe=0.948]
chude  [safe: not_safe=0.535, safe=0.465]
chug  [safe: not_safe=0.177, safe=0.823]
chugs  [safe: not_safe=0.130, safe=0.870]
chuj  [safe: not_safe=0.175, safe=0.825]
chujnia  [safe: not_safe=0.266, safe=0.734]
chunger  [safe: not_safe=0.707, safe=0.293]
chungers  [safe: not_safe=0.606, safe=0.394]
chunkies  [safe: not_safe=0.004, safe=0.996]
chunkys  [safe: not_safe=0.027, safe=0.973]
chupa  [safe: not_safe=0.261, safe=0.739]
chupada  [safe: not_safe=0.805, safe=0.195]
chupapollas  [not safe: not_safe=0.902, safe=0.098]
chupar  [safe: not_safe=0.380, safe=0.620]
chupetón  [safe: not_safe=0.203, safe=0.797]
chut  [safe: not_safe=0.459, safe=0.541]
chutad  [safe: not_safe=0.111, safe=0.889]
chutadd  [safe: not_safe=0.713, safe=0.287]
chutan  [safe: not_safe=0.357, safe=0.643]
chute  [safe: not_safe=0.173, safe=0.827]
chutia  [not safe: not_safe=0.874, safe=0.126]
chutiya  [safe: not_safe=0.761, safe=0.239]
cialis  [safe: not_safe=0.453, safe=0.547]
ciospo  [not safe: not_safe=0.968, safe=0.032]
ciota  [not safe: not_safe=0.891, safe=0.109]
cipa  [safe: not_safe=0.513, safe=0.487]
circlejerk  [safe: not_safe=0.298, safe=0.702]
cl*t  [safe: not_safe=0.476, safe=0.524]
clamdigger  [safe: not_safe=0.016, safe=0.984]
clamdiver  [safe: not_safe=0.291, safe=0.709]
clamps  [safe: not_safe=0.668, safe=0.332]
clansman  [safe: not_safe=0.005, safe=0.995]
clansmen  [safe: not_safe=0.005, safe=0.995]
clanswoman  [safe: not_safe=0.205, safe=0.795]
clanswomen  [safe: not_safe=0.026, safe=0.974]
clit  [not safe: not_safe=0.862, safe=0.138]
clitface  [not safe: not_safe=0.994, safe=0.006]
clitfuck  [not safe: not_safe=0.955, safe=0.045]
clitlickers  [not safe: not_safe=0.959, safe=0.041]
clito  [not safe: not_safe=0.820, safe=0.180]
clitoris  [not safe: not_safe=0.864, safe=0.136]
clitorus  [safe: not_safe=0.551, safe=0.449]
clits  [not safe: not_safe=0.987, safe=0.013]
clitty  [not safe: not_safe=0.963, safe=0.037]
clogwog  [not safe: not_safe=0.983, safe=0.017]
closet fuckhead  [not safe: not_safe=0.998, safe=0.002]
clusterfuck  [safe: not_safe=0.093, safe=0.907]
clusterfucked  [safe: not_safe=0.342, safe=0.658]
clusterfucker  [safe: not_safe=0.057, safe=0.943]
clusterfucking  [safe: not_safe=0.096, safe=0.904]
clusterfucks  [safe: not_safe=0.033, safe=0.967]
cnnt  [safe: not_safe=0.043, safe=0.957]
cnt  [safe: not_safe=0.042, safe=0.958]
cnts  [safe: not_safe=0.086, safe=0.914]
cntz  [safe: not_safe=0.052, safe=0.948]
cnut  [safe: not_safe=0.063, safe=0.937]
cobb knobbler  [not safe: not_safe=0.926, safe=0.074]
cocain  [safe: not_safe=0.010, safe=0.990]
cocaine  [safe: not_safe=0.023, safe=0.977]
cocaína  [safe: not_safe=0.347, safe=0.653]
cochino  [safe: not_safe=0.643, safe=0.357]
cock  [not safe: not_safe=0.837, safe=0.163]
cock droplets  [not safe: not_safe=0.958, safe=0.042]
cock head  [not safe: not_safe=0.993, safe=0.007]
cock jockey  [safe: not_safe=0.086, safe=0.914]
cock knocker  [not safe: not_safe=0.997, safe=0.003]
cock licker  [not safe: not_safe=0.995, safe=0.005]
cock munch  [not safe: not_safe=0.996, safe=0.004]
cock rider  [safe: not_safe=0.743, safe=0.257]
cock smoker  [not safe: not_safe=0.880, safe=0.120]
cock snot  [not safe: not_safe=0.998, safe=0.002]
cock suck  [not safe: not_safe=0.945, safe=0.055]
cock sucker  [not safe: not_safe=0.837, safe=0.163]
cock sucking  [not safe: not_safe=0.988, safe=0.012]
cock sucking boiolas  [not safe: not_safe=0.956, safe=0.044]
cock sucking nob jokeys  [not safe: not_safe=0.993, safe=0.007]
cock tease  [safe: not_safe=0.468, safe=0.532]
cock-face  [safe: not_safe=0.714, safe=0.286]
cock-gobbler  [not safe: not_safe=0.991, safe=0.009]
cock-head  [not safe: not_safe=0.989, safe=0.011]
cock-sucker  [not safe: not_safe=0.859, safe=0.141]
cock-suckers  [not safe: not_safe=0.968, safe=0.032]
cockass  [not safe: not_safe=0.966, safe=0.034]
cockbite  [not safe: not_safe=0.996, safe=0.004]
cockblock  [not safe: not_safe=0.942, safe=0.058]
cockblocker  [not safe: not_safe=0.835, safe=0.165]
cockboy  [safe: not_safe=0.551, safe=0.449]
cockburger  [safe: not_safe=0.692, safe=0.308]
cockcowboy  [not safe: not_safe=0.888, safe=0.112]
cockeater  [safe: not_safe=0.029, safe=0.971]
cockface  [not safe: not_safe=0.978, safe=0.022]
cockfight  [not safe: not_safe=0.958, safe=0.042]
cockfucker  [not safe: not_safe=0.895, safe=0.105]
cockgobbler  [not safe: not_safe=0.970, safe=0.030]
cockh3ad  [safe: not_safe=0.672, safe=0.328]
cockhead  [not safe: not_safe=0.985, safe=0.015]
cockheads  [not safe: not_safe=0.988, safe=0.012]
cockhed  [not safe: not_safe=0.994, safe=0.006]
cockholster  [safe: not_safe=0.530, safe=0.470]
cockjockey  [safe: not_safe=0.044, safe=0.956]
cockknob  [not safe: not_safe=0.914, safe=0.086]
cockknocker  [not safe: not_safe=0.995, safe=0.005]
cockknoker  [not safe: not_safe=0.992, safe=0.008]
cockless  [not safe: not_safe=0.995, safe=0.005]
cocklicker  [not safe: not_safe=0.992, safe=0.008]
cocklover  [not safe: not_safe=0.957, safe=0.043]
cockmaster  [safe: not_safe=0.064, safe=0.936]
cockmonger  [safe: not_safe=0.108, safe=0.892]
cockmongler  [safe: not_safe=0.051, safe=0.949]
cockmongruel  [safe: not_safe=0.094, safe=0.906]
cockmonkey  [safe: not_safe=0.060, safe=0.940]
cockmunch  [not safe: not_safe=0.990, safe=0.010]
cockmuncher  [not safe: not_safe=0.973, safe=0.027]
cocknob  [not safe: not_safe=0.923, safe=0.077]
cocknose  [not safe: not_safe=0.993, safe=0.007]
cocknugget  [not safe: not_safe=0.989, safe=0.011]
cockqueen  [not safe: not_safe=0.931, safe=0.069]
cockrider  [safe: not_safe=0.349, safe=0.651]
cocks  [safe: not_safe=0.575, safe=0.425]
cockshit  [not safe: not_safe=0.988, safe=0.012]
cockskin  [not safe: not_safe=0.942, safe=0.058]
cocksman  [safe: not_safe=0.450, safe=0.550]
cocksmith  [safe: not_safe=0.286, safe=0.714]
cocksmoke  [not safe: not_safe=0.949, safe=0.051]
cocksmoker  [not safe: not_safe=0.834, safe=0.166]
cocksniffer  [not safe: not_safe=0.937, safe=0.063]
cocksplat  [safe: not_safe=0.312, safe=0.688]
cocksucc  [not safe: not_safe=0.849, safe=0.151]
cocksuccas  [not safe: not_safe=0.907, safe=0.093]
cocksuccer  [safe: not_safe=0.704, safe=0.296]
cocksuccers  [safe: not_safe=0.600, safe=0.400]
cocksucer  [not safe: not_safe=0.842, safe=0.158]
cocksuck  [not safe: not_safe=0.976, safe=0.024]
cocksuckas  [not safe: not_safe=0.926, safe=0.074]
cocksucked  [not safe: not_safe=0.997, safe=0.003]
cocksucker  [not safe: not_safe=0.983, safe=0.017]
cocksuckers  [not safe: not_safe=0.970, safe=0.030]
cocksucking  [not safe: not_safe=0.981, safe=0.019]
cocksucking mothafuckers  [not safe: not_safe=0.984, safe=0.016]
cocksucks  [not safe: not_safe=0.994, safe=0.006]
cocksuk  [safe: not_safe=0.756, safe=0.244]
cocksuka  [safe: not_safe=0.404, safe=0.596]
cocksukka  [not safe: not_safe=0.837, safe=0.163]
cocktease  [safe: not_safe=0.012, safe=0.988]
cockwaffle  [safe: not_safe=0.385, safe=0.615]
cocky  [not safe: not_safe=0.918, safe=0.082]
cocsuck  [not safe: not_safe=0.965, safe=0.035]
coglione  [safe: not_safe=0.415, safe=0.585]
coglioni  [safe: not_safe=0.331, safe=0.669]
cohee  [safe: not_safe=0.040, safe=0.960]
coital  [safe: not_safe=0.025, safe=0.975]
coito  [safe: not_safe=0.701, safe=0.299]
coitus  [safe: not_safe=0.271, safe=0.729]
cojones  [safe: not_safe=0.613, safe=0.387]
cok  [safe: not_safe=0.712, safe=0.288]
cokmuncher  [not safe: not_safe=0.813, safe=0.187]
coksucka  [safe: not_safe=0.583, safe=0.417]
colhoes  [not safe: not_safe=0.865, safe=0.135]
comer  [safe: not_safe=0.032, safe=0.968]
commie  [safe: not_safe=0.004, safe=0.996]
con  [safe: not_safe=0.047, safe=0.953]
cona  [safe: not_safe=0.433, safe=0.567]
concha  [safe: not_safe=0.066, safe=0.934]
condom  [safe: not_safe=0.009, safe=0.991]
